entidade;atributo;descricao
sinapses.Historico_Chamada;base_entity.hash;Hash alfanumérico para verificação de integridade e identificação rápida.
sinapses.Historico_Chamada;base_entity.busca_original;Termo ou consulta original que resultou na criação desta entidade.
sinapses.Historico_Chamada;historico_chamada.calls_data;Coleção de metadados referentes às chamadas individuais.
sinapses.Historico_Chamada;historico_chamada.contact;Dados de identificação do contato associado ao histórico de chamadas.
sinapses.Historico_Chamada;historico_chamada.countcall;Número de chamadas realizadas associadas a esta entidade.
sinapses.Historico_Chamada;historico_chamada.first;Registro do início da primeira interação telefônica.
sinapses.Historico_Chamada;base_entity.id;Chave primária do registro no banco de dados de históricos.
sinapses.Historico_Chamada;historico_chamada.last;Marcação da conclusão mais recente de contato telefônico.
sinapses.Historico_Chamada;historico_chamada.members;Conjunto de participantes identificados em todas as chamadas.
sinapses.Historico_Chamada;base_entity.secret;Chave secreta para operações de segurança interna e autenticação.
sinapses.Historico_Chamada;historico_chamada.source;Origem da chamada, indicando o sistema ou aplicativo responsável.
sinapses.Historico_Chamada;historico_chamada.time_gap;Intervalo de tempo entre as chamadas registradas no histórico.
sinapses.Historico_Chamada;historico_chamada.talktime;Soma do tempo em segundos de todas as chamadas efetuadas.
sinapses.Historico_Chamada;base_entity.base_de_origem;Identificação da base ou contexto original de onde a entidade foi gerada.
sinapses.Instant_Message;base_entity.hash;Hash alfanumérico para verificação de integridade e identificação rápida.
sinapses.Instant_Message;instant_message.body;Conteúdo da mensagem.
sinapses.Instant_Message;base_entity.busca_original;Termo ou consulta original que resultou na criação desta entidade.
sinapses.Instant_Message;instant_message.date_delivered;Quando a mensagem foi entregue.
sinapses.Instant_Message;instant_message.date_read;Quando a mensagem foi lida
sinapses.Instant_Message;instant_message.date_sent;Quando a mensagem foi enviada.
sinapses.Instant_Message;base_entity.expandable;Valores a serem expandidos
sinapses.Instant_Message;instant_message.extra_info;Detalhes adicionais da mensagem.
sinapses.Instant_Message;base_entity.id;Identificador único da entidade dentro do sistema SNAP.
sinapses.Instant_Message;instant_message.body;Conteúdo da mensagem.
sinapses.Instant_Message;instant_message.platform;Meio pelo qual a mensagem foi enviada, como Web ou Mobile.
sinapses.Instant_Message;instant_message.receiver_id;Identificador único do destinatário.
sinapses.Instant_Message;instant_message.receiver_name;Nome de quem recebeu a mensagem.
sinapses.Instant_Message;base_entity.secret;Marca se a mensagem tem conteúdo confidencial.
sinapses.Instant_Message;instant_message.sender_id;Identificador único do remetente.
sinapses.Instant_Message;instant_message.sender_name;Nome de quem enviou a mensagem.
sinapses.Instant_Message;base_entity.sinapses_adicionais;
sinapses.Instant_Message;instant_message.size;Tamanho em dados da mensagem.
